frames_to_process,split_no,flops,total_processing_time,single_frame_time,left_output_size,avg_consec_inference_gap,total_left_model_time,total_right_model_time,Model
10,41,0.0191,23.415474,2.3415474,702464,2.213358889,1.103143,7.594553,DenseNet121
10,48,0.0232,25.278126,2.5278126,802816,2.396594111,1.172236,0,DenseNet121
10,48,0.0232,25.27792,2.527792,802816,2.396702,1.205156,7.041413,DenseNet121
10,49,0.0232,25.080222,2.5080222,802816,2.397673,1.19918,0,DenseNet121
10,49,0.0232,25.080072,2.5080072,802816,2.397836111,1.21805,7.103386,DenseNet121
10,50,0.0232,17.414306,1.7414306,802816,1.634734,1.218731,0,DenseNet121
10,50,0.0232,17.415363,1.7415363,802816,1.634851444,1.234001,6.810664,DenseNet121
10,51,0.0252,17.624306,1.7624306,401408,1.643764556,1.262278,0,DenseNet121
10,51,0.0252,17.630264,1.7630264,401408,1.643908556,1.288753,6.821843,DenseNet121
10,52,0.0252,10.486594,1.0486594,100352,0.9215966667,1.280915,0,DenseNet121
10,52,0.0252,10.486512,1.0486512,100352,0.9216668889,1.296467,7.178046,DenseNet121
10,59,0.0261,11.264316,1.1264316,125440,0.9585235556,1.370386,6.881059,DenseNet121
10,59,0.0261,11.264689,1.1264689,125440,0.9586592222,1.377511,0,DenseNet121
10,66,0.027,11.027291,1.1027291,150528,0.9594003333,1.42419,6.934973,DenseNet121
10,66,0.027,11.033149,1.1033149,150528,0.9595723333,1.466607,0,DenseNet121
10,73,0.0279,11.956656,1.1956656,175616,1.064192444,1.428992,0,DenseNet121
10,73,0.0279,11.958677,1.1958677,175616,1.064178889,1.419754,6.327352,DenseNet121
10,80,0.0289,12.20201,1.220201,200704,1.053279222,1.584566,6.550084,DenseNet121
10,80,0.0289,12.198424,1.2198424,200704,1.053277444,1.57501,0,DenseNet121
10,87,0.03,12.5067,1.25067,225792,1.093910889,1.60492,0,DenseNet121
10,87,0.03,12.507703,1.2507703,225792,1.094002111,1.619508,6.124388,DenseNet121
10,94,0.0312,12.892006,1.2892006,250880,1.124597333,1.688253,0,DenseNet121
10,94,0.0312,12.894042,1.2894042,250880,1.124759889,1.705473,5.982382,DenseNet121
10,101,0.0324,13.421914,1.3421914,275968,1.122107,1.874375,0,DenseNet121
10,101,0.0324,13.417995,1.3417995,275968,1.122189889,1.887914,6.098949,DenseNet121
10,108,0.0337,14.538142,1.4538142,301056,1.227956,1.926256,5.961329,DenseNet121
10,108,0.0337,14.538765,1.4538765,301056,1.228106111,1.974271,0,DenseNet121
10,115,0.0351,14.582836,1.4582836,326144,1.245391556,1.906052,5.537116,DenseNet121
10,115,0.0351,14.585977,1.4585977,326144,1.245525444,1.931783,0,DenseNet121
10,122,0.0365,15.605602,1.5605602,351232,1.327037889,2.06214,5.745775,DenseNet121
10,122,0.0365,15.60827,1.560827,351232,1.327161333,2.079906,0,DenseNet121
10,129,0.0379,17.251434,1.7251434,376320,1.481808778,2.318873,0,DenseNet121
10,129,0.0379,17.253643,1.7253643,376320,1.481798444,2.305344,5.506749,DenseNet121
10,136,0.0395,17.313226,1.7313226,401408,1.501215333,2.269268,5.528444,DenseNet121
10,136,0.0395,17.302835,1.7302835,401408,1.501333444,2.313801,0,DenseNet121
10,137,0.0395,16.818338,1.6818338,401408,1.414463333,2.55383,5.350293,DenseNet121
10,137,0.0395,16.817237,1.6817237,401408,1.414600333,2.607084,0,DenseNet121
10,138,0.0395,10.949904,1.0949904,401408,0.841778,2.370479,5.11396,DenseNet121
10,138,0.0395,10.940669,1.0940669,401408,0.8419536667,2.378245,0,DenseNet121
10,139,0.0415,11.422467,1.1422467,200704,0.9208913333,2.213629,4.97063,DenseNet121
10,139,0.0415,11.422638,1.1422638,200704,0.9210198889,2.222402,0,DenseNet121
10,140,0.0415,8.082426,0.8082426,50176,0.5852867778,2.21896,0,DenseNet121
10,140,0.0415,8.083638,0.8083638,50176,0.5854101111,2.221613,4.916479,DenseNet121
10,147,0.0418,8.568113,0.8568113,56448,0.5988386667,2.535608,0,DenseNet121
10,147,0.0418,8.576538,0.8576538,56448,0.598989,2.632771,4.816019,DenseNet121
10,154,0.0421,8.225434,0.8225434,62720,0.5891976667,2.314679,4.815347,DenseNet121
10,154,0.0421,8.224982,0.8224982,62720,0.5892961111,2.362646,0,DenseNet121
10,161,0.0424,8.545813,0.8545813,68992,0.5949155556,2.55285,0,DenseNet121
